Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the pagination when more than 20 data is viewed,UW-65,10162,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,17/Feb/22 2:49 PM,17/Feb/22 3:09 PM,17/Feb/22 2:56 PM,17/Feb/22 3:09 PM,,0,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000sx:,,,,,UW Sprint 1,,,,,,,,Done
Verify the checkbox for each data and bulk action,UW-64,10161,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,17/Feb/22 2:47 PM,17/Feb/22 3:09 PM,17/Feb/22 2:55 PM,17/Feb/22 3:09 PM,,0,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000sn:,,,,,UW Sprint 1,,,,,,,,Done
"Special charcter, alphanumerics, Blank Spaces are accepted",UW-63,10160,Bug,To Do,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,17/Feb/22 1:04 PM,18/Feb/22 4:04 PM,18/Feb/22 4:30 PM,,,0,"Special character, alphanumeric, Blank Spaces are accepted

Steps:

Navigate to the uniform upskills website		

2. Click on Catalog tab, then on Manufacturers then on add new/edit button

3. Verify the Manufacturer name field with Special character, alphanumeric, Blank Spaces	

Test Data:
@#$@#$
asd123
""             ""

Expected Result:
Validation message should appear when click on save button

Actual Result:
No message is displayed instead data is added to database

Screenshot:

!image-2022-02-17-13-02-58-674.png|width=200,height=183!

 

!image-2022-02-17-13-03-18-259.png|width=200,height=183!

 

!image-2022-02-17-13-03-56-498.png|width=200,height=183!

 

!image-2022-02-17-13-04-50-754.png|width=200,height=183!

 ",,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,UW-2,UW-35,UW-53,,,17/Feb/22 1:03 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-17-13-02-58-674.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10019/image-2022-02-17-13-02-58-674.png,17/Feb/22 1:03 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-17-13-03-18-259.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10018/image-2022-02-17-13-03-18-259.png,17/Feb/22 1:03 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-17-13-03-56-498.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10017/image-2022-02-17-13-03-56-498.png,17/Feb/22 1:04 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-17-13-04-13-555.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10016/image-2022-02-17-13-04-13-555.png,17/Feb/22 1:04 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-17-13-04-50-754.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10015/image-2022-02-17-13-04-50-754.png,,,,,,,{},,,,0|i000ub:,,,,,UW Sprint 1,,,,,,,,To Do
Spaces are accepted,UW-62,10159,Bug,To Do,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,17/Feb/22 12:03 PM,18/Feb/22 4:03 PM,18/Feb/22 4:04 PM,,,0,"Empty spaces are accepted

Steps:

Navigate to the uniform upskills website		

2. Click on Catalog tab, then on Manufacturers then on add new/edit button

3. Verify the Manufacturer name field with empty space	

Test Data:
abc xyz asd

Expected Result:
Validation message should appear when click on save button

Actual Result:
No message is displayed instead data is added to database

Screenshot:

!image-2022-02-17-12-03-09-155.png|width=200,height=183!

 

!image-2022-02-17-12-03-27-212.png|width=200,height=183!

 ",,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,UW-2,UW-29,UW-47,,,17/Feb/22 12:03 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-17-12-03-09-155.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10014/image-2022-02-17-12-03-09-155.png,17/Feb/22 12:03 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-17-12-03-27-212.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10013/image-2022-02-17-12-03-27-212.png,,,,,,,,,,{},,,,0|i000u3:,,,,,UW Sprint 1,,,,,,,,To Do
Empty spaces are accepted,UW-61,10158,Bug,To Do,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,17/Feb/22 11:49 AM,18/Feb/22 4:02 PM,18/Feb/22 4:05 PM,,,0,"Empty spaces are accepted

Steps:

# Navigate to the uniform upskills website		

   2. Click on Catalog tab, then on Manufacturers then on add new/edit button

   3. Verify the Manufacturer name field with empty space	

Test Data:
”                        “

Expected Result:
Validation message should appear when click on save button

Actual Result:
No message is displayed instead data is added to database

Screenshot:

!image-20220217-062721.png|width=1288,height=682!

!image-20220217-062758.png|width=1274,height=615!",,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,UW-2,UW-26,UW-30,UW-44,UW-48,17/Feb/22 11:58 AM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-20220217-062721.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10012/image-20220217-062721.png,17/Feb/22 11:58 AM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-20220217-062758.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10011/image-20220217-062758.png,,,,,,,,,,{},,,,0|i000tv:,,,,,UW Sprint 1,,,,,,,,To Do
Validation message not shown with special characters and alpha numericals ,UW-60,10157,Bug,To Do,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,16/Feb/22 2:55 PM,17/Feb/22 2:55 PM,18/Feb/22 4:01 PM,,,0,"Validation message not shown with special characters and alpha numericals

Steps:
1. Navigate to the uniform upskills website		
2. Click on Reports tab, then on Products then Purchased		
3. Verify the Date Start/Date End field with special characters	

Test Data:
""@#@#@#$""
 abc12

Expected Result:
Validation message should appear when click on Filter button

Actual Result:
No message is displayed instead data is added to database

Screenshot:
 !image-2022-02-16-14-54-53-859.png|thumbnail! 
 !image-2022-02-16-14-55-44-376.png|thumbnail! ",,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,UW-2,UW-25,UW-43,,,16/Feb/22 2:54 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-16-14-54-53-859.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10010/image-2022-02-16-14-54-53-859.png,16/Feb/22 2:55 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-16-14-55-44-376.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10009/image-2022-02-16-14-55-44-376.png,,,,,,,,,,{},,,,0|i000tn:,,,,,UW Sprint 1,,,,,,,,To Do
Validation message not shown with alpha numeric,UW-59,10156,Bug,To Do,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,16/Feb/22 2:26 PM,18/Feb/22 4:00 PM,18/Feb/22 3:59 PM,,,0,"Validation message not shown with alpha numeric

Steps:
1. Navigate to the uniform upskills website		
2. Click on Reports tab, then on Products then Purchased		
3. Verify the Date Start/Date End field with alpha numerics

Test Data: 
123asd 

Expected Result:
Validation message should appear when click on Filter button

Actual Result:
No message is displayed

Screenshot:

!image-2022-02-16-14-24-32-938.png|width=200,height=183!

 ",,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,UW-1,UW-5,UW-11,UW-10,,16/Feb/22 2:24 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-16-14-24-32-938.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10006/image-2022-02-16-14-24-32-938.png,,,,,,,,,,,{},,,,0|i000th:,,,,,UW Sprint 1,,,,,,,,To Do
Validation message not shown with special characters,UW-58,10155,Bug,To Do,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,16/Feb/22 2:21 PM,17/Feb/22 2:55 PM,18/Feb/22 4:00 PM,,,0,"Validation message not shown with special characters

Steps:
1. Navigate to the uniform upskills website		
2. Click on Reports tab, then on Products then Purchased		
3. Verify the Date Start/Date End field with special characters	

Test Data:
@#@#	

Expected Result:
Validation message should appear when click on Filter button

Actual Result:
No message is displayed

Screenshot:

!image-2022-02-16-14-21-37-965.png|width=200,height=183!

!image-20220216-090802.png|width=1278,height=633!

 ",,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,UW-1,UW-4,UW-10,,,16/Feb/22 2:21 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-16-14-21-37-965.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10005/image-2022-02-16-14-21-37-965.png,16/Feb/22 2:38 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-20220216-090802.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10008/image-20220216-090802.png,,,,,,,,,,{},,,,0|i000tb:,,,,,UW Sprint 1,,,,,,,,To Do
"Validation message not shown with invalid date, future dates",UW-57,10154,Bug,To Do,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,16/Feb/22 12:56 PM,17/Feb/22 2:55 PM,18/Feb/22 3:50 PM,,,0,"Validation message not shown with invalid date, future dates

Steps:
1. Navigate to the uniform upskills website		
2. Click on Reports tab, then on Products then Purchased		
3. Verify the Date Start/ Date End field with invalid date, future dates	

Test Data:
2020-21-20
2051-05-15	

Expected Result:
Validation message should appear when click on Filter button

Actual Result:
No message is displayed

Screenshot:

!image-20220216-090432.png|width=1241,height=628!



!image-2022-02-16-12-56-04-450.png|width=200,height=183!

*  ",,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,,,,,,,,,UW-1,UW-3,UW-9,,,16/Feb/22 12:55 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-16-12-55-00-636.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10004/image-2022-02-16-12-55-00-636.png,16/Feb/22 12:55 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-16-12-55-19-252.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10003/image-2022-02-16-12-55-19-252.png,16/Feb/22 12:56 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-2022-02-16-12-56-04-450.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10002/image-2022-02-16-12-56-04-450.png,16/Feb/22 2:35 PM;ug:10a29fb7-1036-40f8-9684-99b18139e561;image-20220216-090432.png;https://sksafiurrahaman.atlassian.net/secure/attachment/10007/image-20220216-090432.png,,,,,,,,{},,,,0|i000t7:,,,,,UW Sprint 1,,,,,,,,To Do
Verify the cancel button,UW-56,10153,Test,Done,UW,Uniform Website,software,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,,Medium,Done,,,Sheikh Safiur Rahaman,620b30c4bba9ca0070c9f6c5,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 12:12 PM,17/Feb/22 3:09 PM,16/Feb/22 12:40 PM,17/Feb/22 3:09 PM,,0,Verify the cancel button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UW-2,,,,,,,,,,,,,,,,{},,,,0|i000s3:,,,,,UW Sprint 1,,,,,,,,Done
